time,r2,r4,a2
0,0,0,0
0.025,0.004315882,3.109114e-05,0.001495129
0.05,0.01696894,0.0004804905,0.001213458
0.075,0.03727544,0.002317696,0.0008340122
0.1,0.06424575,0.006883014,0.0005552418
0.125,0.09662333,0.01557403,0.0008941066
0.15,0.1329942,0.02953998,0.002065323
0.175,0.1718975,0.04945906,0.004287194
0.2,0.2118594,0.07539828,0.007899814
0.225,0.2515212,0.1068123,0.01303217
0.25,0.2897206,0.1426988,0.02002964
0.275,0.3254525,0.1816811,0.02916698
0.3,0.3579685,0.2222526,0.04065882
0.325,0.3867449,0.262898,0.05460375
0.35,0.4115676,0.3024527,0.07133767
0.375,0.4323648,0.3399301,0.09103882
0.4,0.4492514,0.3746362,0.1137355
0.425,0.4625117,0.406205,0.1393337
0.45,0.4725389,0.4345383,0.1676271
0.475,0.4797975,0.4597317,0.1982289
0.5,0.484807,0.482067,0.230611
0.525,0.4880559,0.5018643,0.2641495
0.55,0.4900837,0.5196541,0.298151
0.575,0.4913752,0.5359069,0.3317238
0.6,0.4923068,0.551028,0.364122
0.625,0.4931824,0.5653683,0.3946574
0.65,0.4942242,0.5792936,0.4229901
0.675,0.4955811,0.59316,0.4490844
0.7,0.4972767,0.6071544,0.4731746
0.725,0.4993279,0.6213838,0.4953386
0.75,0.5016937,0.6358558,0.5157674
0.775,0.5042967,0.6505293,0.5347791
0.8,0.5070029,0.6652316,0.5527562
0.825,0.5096406,0.6796826,0.5701072
0.85,0.5120766,0.6935892,0.5870248
0.875,0.5141797,0.7068458,0.6041541
0.9,0.5157792,0.7190645,0.621778
0.925,0.5167632,0.7300172,0.6402163
0.95,0.5170633,0.7396565,0.659946
0.975,0.516599,0.7479661,0.6816133
1,0.5153334,0.7549016,0.7055519
1.05,0.5103745,0.7648804,0.7618415
1.1,0.5026879,0.770945,0.8305336
1.15,0.493212,0.7747223,0.9108652
1.2,0.4833179,0.7783957,0.9993369
1.25,0.4743649,0.7834529,1.089003
1.3,0.46764,0.7911138,1.170536
1.35,0.4637312,0.8012927,1.235681
1.4,0.4629078,0.8145719,1.280823
1.45,0.4647292,0.8303641,1.306852
1.5,0.4684078,0.8481165,1.319308
1.55,0.473004,0.8669569,1.32498
1.6,0.4777604,0.8855424,1.327771
1.65,0.4822032,0.9033291,1.330972
1.7,0.486084,0.9202531,1.336877
1.75,0.4894233,0.9364547,1.345679
1.8,0.4924491,0.9526402,1.356989
1.85,0.4952427,0.9690698,1.370664
1.9,0.4980249,0.9863585,1.386075
1.95,0.5008794,1.004404,1.402112
2,0.5037208,1.023097,1.419292
2.05,0.5064555,1.041322,1.435867
2.1,0.5089455,1.057996,1.450714
2.15,0.5111997,1.072866,1.46329
2.2,0.513355,1.08615,1.472894
2.25,0.5155546,1.09865,1.480055
2.3,0.5178416,1.110901,1.48561
2.35,0.5202489,1.123223,1.489974
2.4,0.522877,1.135814,1.492639
2.45,0.5258075,1.148993,1.493532
2.5,0.5288486,1.162269,1.493419
2.55,0.5317369,1.175586,1.494664
2.6,0.534288,1.188423,1.497879
2.65,0.5363473,1.200436,1.503792
2.7,0.5378354,1.211419,1.512736
2.75,0.5389493,1.221711,1.523621
2.8,0.5398005,1.231589,1.536007
2.85,0.5406653,1.24241,1.550111
2.9,0.5417467,1.254941,1.565558
2.95,0.5431221,1.268572,1.580306
3,0.5448359,1.283222,1.593712
3.05,0.5468426,1.298235,1.604833
3.125,0.5503175,1.32157,1.618271
3.175,0.5527119,1.337591,1.627102
3.25,0.55568,1.36226,1.647047
3.3,0.5569486,1.378111,1.665663
3.375,0.5581759,1.401074,1.698175
3.45,0.5591171,1.423917,1.732942
3.5,0.5599273,1.438658,1.753249
3.575,0.561682,1.45989,1.776453
3.65,0.5639809,1.48049,1.792724
3.725,0.5664827,1.502099,1.808513
3.8,0.5690795,1.525318,1.825958
3.875,0.5719909,1.552018,1.846229
3.95,0.5750723,1.581055,1.868491
4.025,0.5780937,1.612729,1.895452
4.1,0.5809941,1.642371,1.919301
4.175,0.5838507,1.667221,1.934546
4.25,0.5866397,1.689086,1.94483
4.35,0.5900572,1.71939,1.963039
4.425,0.5923748,1.744248,1.982403
4.525,0.5955175,1.779706,2.010999
4.6,0.598135,1.807083,2.030616
4.7,0.6016197,1.843173,2.055436
4.8,0.6045361,1.87491,2.078132
4.875,0.6061955,1.896761,2.09698
4.975,0.6078387,1.923209,2.123209
5.075,0.6095588,1.951369,2.15108
5.175,0.611365,1.981033,2.180108
5.275,0.6133788,2.0114,2.207688
5.375,0.6159576,2.045071,2.234134
5.5,0.6194468,2.08917,2.266759
5.6,0.6221023,2.122595,2.29075
5.7,0.6245412,2.151891,2.310162
5.825,0.6278984,2.183155,2.32244
5.925,0.6304348,2.20354,2.326532
6.05,0.6336174,2.225776,2.326432
6.175,0.6369197,2.255973,2.33669
6.3,0.6403028,2.301333,2.367906
6.425,0.6435469,2.350312,2.404994
6.55,0.6460509,2.392752,2.439659
6.675,0.6488309,2.431929,2.466084
6.8,0.6519516,2.470659,2.487655
6.925,0.6548186,2.510887,2.513472
7.075,0.6576472,2.548502,2.535495
7.2,0.6603673,2.580608,2.550604
7.35,0.6644123,2.628399,2.572458
7.5,0.6688655,2.676112,2.589036
7.65,0.672346,2.715771,2.604614
7.8,0.67565,2.750629,2.615261
7.95,0.679761,2.802044,2.638428
8.1,0.6848453,2.865,2.665143
8.25,0.6884579,2.906988,2.679931
8.425,0.6917743,2.942682,2.689484
8.6,0.6950571,2.983834,2.705826
8.75,0.6979913,3.023838,2.724001
8.925,0.701511,3.053542,2.722941
9.1,0.705015,3.101876,2.744372
9.275,0.708038,3.1676,2.791128
9.475,0.7112341,3.209686,2.807051
9.65,0.7150735,3.246947,2.810001
9.85,0.7195203,3.2868,2.809241
10.05,0.7232734,3.346098,2.837822
10.225,0.7265179,3.411023,2.877424
10.45,0.7304969,3.482398,2.915552
10.65,0.7334201,3.511989,2.917408
10.85,0.7378047,3.559588,2.92345
11.075,0.7425817,3.646607,2.967817
11.275,0.7460981,3.706657,2.995229
