time,r2,r4,a2
0,0,0,0
0.001,4.532598e-06,4.1175e-11,0.2025149
0.002,1.812611e-05,6.584824e-10,0.2025032
0.003,4.077772e-05,3.332563e-09,0.202496
0.004,7.248362e-05,1.053005e-08,0.2025473
0.005,0.000113237,2.57002e-08,0.2025717
0.006,0.000163032,5.327439e-08,0.2026081
0.007,0.0002218595,9.865899e-08,0.2026293
0.008,0.0002897132,1.682407e-07,0.2026683
0.009,0.0003665787,2.693658e-07,0.2027052
0.01,0.000452447,4.103504e-07,0.2027373
0.011,0.0005473056,6.004663e-07,0.202763
0.012,0.0006511435,8.499524e-07,0.2027973
0.013,0.000763947,1.16998e-06,0.2028274
0.014,0.0008857018,1.572665e-06,0.202853
0.015,0.00101639,2.071057e-06,0.2028816
0.016,0.001156005,2.679173e-06,0.2029093
0.017,0.001304522,3.411888e-06,0.2029383
0.018,0.001461939,4.285103e-06,0.2029674
0.019,0.00162823,5.315489e-06,0.2029935
0.02,0.001803382,6.520722e-06,0.2030166
0.021,0.001987375,7.919354e-06,0.2030432
0.022,0.002180194,9.530819e-06,0.2030704
0.023,0.002381825,1.137546e-05,0.2030966
0.024,0.002592236,1.347433e-05,0.2031209
0.025,0.002811419,1.584949e-05,0.2031377
0.026,0.003039358,1.852412e-05,0.2031645
0.027,0.003276022,2.152159e-05,0.2031843
0.028,0.003521407,2.486686e-05,0.2032052
0.029,0.003775493,2.858538e-05,0.2032277
0.03,0.00403825,3.270306e-05,0.203243
0.031,0.004309671,3.724747e-05,0.2032607
0.032,0.004589721,4.224619e-05,0.2032786
0.033,0.004878402,4.772836e-05,0.2032962
0.034,0.00517568,5.372316e-05,0.2033109
0.035,0.005481523,6.026074e-05,0.2033257
0.036,0.005795926,6.737258e-05,0.203341
0.037,0.006118864,7.509039e-05,0.2033556
0.038,0.006450307,8.344634e-05,0.2033661
0.039,0.006790236,9.247418e-05,0.2033777
0.04,0.007138615,0.0001022075,0.203389
0.041,0.00749544,0.0001126817,0.2034009
0.042,0.007860674,0.0001239315,0.203409
0.043,0.00823428,0.0001359936,0.203423
0.044,0.008616252,0.0001489045,0.2034335
0.045,0.009006537,0.000162701,0.2034435
0.046,0.009405129,0.0001774224,0.2034561
0.047,0.009811979,0.0001931066,0.2034694
0.048,0.01022708,0.0002097931,0.2034809
0.049,0.01065041,0.0002275233,0.2034948
0.05,0.01108192,0.0002463362,0.2035093
0.051,0.01152158,0.0002662738,0.2035252
0.052,0.01196939,0.0002873775,0.2035395
0.053,0.0124253,0.0003096911,0.2035567
0.054,0.01288926,0.0003332552,0.203572
0.055,0.01336127,0.0003581153,0.2035901
0.056,0.01384127,0.0003843134,0.2036076
0.057,0.01432925,0.0004118953,0.2036245
0.058,0.01482514,0.0004409042,0.203643
0.059,0.01532894,0.0004713865,0.2036603
0.06,0.01584059,0.0005033867,0.2036785
0.061,0.01636006,0.0005369507,0.2036937
0.062,0.01688731,0.000572126,0.2037097
0.063,0.01742229,0.0006089566,0.2037239
0.064,0.01796498,0.0006474926,0.2037402
0.065,0.01851535,0.0006877823,0.2037553
0.066,0.01907334,0.0007298694,0.2037687
0.067,0.01963892,0.0007738061,0.2037826
0.068,0.02021206,0.0008196386,0.203795
0.069,0.02079271,0.0008674175,0.2038079
0.07,0.02138085,0.0009171935,0.2038216
0.071,0.02197642,0.0009690127,0.2038342
0.072,0.02257942,0.001022929,0.2038468
0.073,0.02318977,0.00107899,0.2038592
0.074,0.02380746,0.001137251,0.2038745
0.075,0.02443241,0.001197756,0.2038901
0.076,0.02506462,0.001260558,0.2039038
0.077,0.02570403,0.00132571,0.2039192
0.078,0.0263506,0.001393265,0.203937
0.079,0.02700429,0.00146327,0.2039555
0.08,0.02766508,0.001535783,0.2039745
0.081,0.02833292,0.001610855,0.203996
0.082,0.02900774,0.001688532,0.2040175
0.083,0.02968956,0.001768876,0.2040403
0.084,0.0303783,0.001851936,0.2040658
0.085,0.03107391,0.00193776,0.2040913
0.086,0.03177637,0.002026409,0.2041195
0.087,0.03248567,0.002117929,0.2041454
0.088,0.0332017,0.002212375,0.2041747
0.089,0.03392449,0.002309808,0.2042048
0.09,0.03465392,0.002410268,0.2042363
0.091,0.03539001,0.002513814,0.2042675
0.092,0.03613272,0.002620508,0.2043018
0.093,0.03688193,0.002730382,0.2043351
0.094,0.03763768,0.002843503,0.2043685
0.095,0.03839988,0.002959924,0.204404
0.096,0.0391685,0.003079693,0.2044389
0.097,0.03994349,0.003202871,0.2044774
0.098,0.04072478,0.003329492,0.2045133
0.099,0.04151237,0.003459626,0.2045515
0.1,0.04230619,0.003593319,0.20459
0.101,0.04310619,0.003730626,0.2046303
0.102,0.04391232,0.003871594,0.2046705
0.103,0.04472453,0.004016276,0.2047119
0.104,0.04554277,0.004164723,0.2047543
0.105,0.04636699,0.004316988,0.2047982
0.106,0.04719713,0.00447312,0.2048436
0.107,0.04803313,0.004633164,0.2048894
0.108,0.04887499,0.004797185,0.204937
0.109,0.04972257,0.004965208,0.2049847
0.11,0.0505759,0.005137312,0.2050362
0.111,0.05143491,0.005313528,0.2050868
0.112,0.05229952,0.005493912,0.2051402
0.113,0.05316969,0.00567851,0.2051951
0.114,0.05404539,0.00586737,0.2052508
0.115,0.05492656,0.006060547,0.2053088
0.116,0.05581314,0.006258078,0.2053673
0.117,0.05670508,0.00646002,0.2054278
0.118,0.05760233,0.006666419,0.2054902
0.119,0.05850488,0.006877321,0.2055533
0.12,0.05941258,0.007092762,0.2056181
0.121,0.06032547,0.007312812,0.2056859
0.122,0.06124345,0.007537486,0.2057532
0.123,0.06216648,0.007766856,0.205824
0.124,0.06309452,0.008000958,0.2058961
0.125,0.06402742,0.008239803,0.2059688
0.126,0.06496526,0.008483492,0.2060449
0.127,0.06590794,0.008732032,0.2061217
0.128,0.06685537,0.008985476,0.206201
0.129,0.06780756,0.009243872,0.2062824
0.13,0.06876442,0.009507245,0.2063641
0.131,0.06972592,0.009775676,0.2064506
0.132,0.07069203,0.01004918,0.2065374
0.133,0.07166269,0.0103278,0.2066267
0.134,0.07263784,0.0106116,0.206719
0.135,0.0736174,0.01090058,0.2068125
0.136,0.07460136,0.0111948,0.2069077
0.137,0.07558969,0.01149432,0.2070059
0.138,0.07658233,0.01179918,0.2071073
