time,eb
103,2.180002
112,1.953029
121,1.781499
130,1.57824
139,1.454969
148,1.384069
157,1.311486
166,1.26133
175,1.230623
184,1.188657
193,1.152812
202,1.125753
211,1.104503
220,1.083049
229,1.048815
238,1.002406
247,0.9847132
256,0.9662074
265,0.9559348
274,0.9652377
283,0.9740837
292,0.9519534
301,0.9356942
310,0.9247713
319,0.9001551
328,0.8792262
337,0.8619453
346,0.8422527
355,0.842758
364,0.845665
373,0.8312424
382,0.8139708
391,0.7962011
400,0.7901414
409,0.7903102
418,0.784149
427,0.7775834
436,0.7632784
445,0.7601193
454,0.7528168
463,0.7474189
472,0.7399308
481,0.742773
490,0.7353016
499,0.7240187
508,0.7159002
517,0.712637
526,0.7067274
535,0.7022227
544,0.6926357
553,0.6898664
562,0.6852018
571,0.6776986
580,0.6725424
589,0.6688728
598,0.6688936
607,0.6633789
616,0.6575155
625,0.6479318
634,0.6438304
643,0.6431505
652,0.6369503
661,0.6299286
670,0.6246403
679,0.6221456
688,0.6225865
697,0.6197233
706,0.6163074
715,0.6157622
724,0.6120117
733,0.6152705
742,0.617502
751,0.617658
760,0.6143936
769,0.6088768
778,0.6086711
787,0.6094524
796,0.6051868
805,0.6049259
814,0.6054277
823,0.604382
832,0.6038564
841,0.6009887
850,0.5988975
859,0.5959991
868,0.5918828
877,0.5887938
886,0.5835883
895,0.5830664
904,0.5791547
913,0.576155
922,0.5732732
931,0.5725767
940,0.5714995
949,0.5702999
958,0.5686823
967,0.5647195
976,0.5606476
985,0.5581955
994,0.5581042
1003,0.5547244
1012,0.5531045
1021,0.5510867
1030,0.5518971
1039,0.551082
1048,0.5503056
1057,0.5493694
1066,0.5530009
1075,0.5515871
1084,0.5510543
1093,0.5478073
1102,0.5449994
1111,0.5404078
1120,0.5370016
1129,0.5341761
1138,0.5362779
1147,0.5365646
1156,0.5398885
1165,0.5380999
1174,0.5391792
1183,0.5400692
1192,0.538092
1201,0.5396344
1210,0.5426228
1219,0.5413943
1228,0.5384101
1237,0.5349063
1246,0.5352234
1255,0.5363765
1264,0.536086
1273,0.5363739
1282,0.5341596
1291,0.5316119
1300,0.5305533
1309,0.5289616
1318,0.527038
1327,0.5260493
1336,0.5256846
1345,0.5267579
1354,0.5282451
1363,0.5280617
1372,0.5282047
1381,0.5259453
1390,0.5264196
1399,0.5273967
1408,0.5282551
1417,0.5313395
1426,0.531887
1435,0.530392
1444,0.5286611
1453,0.5285862
1462,0.5265077
1471,0.5236619
1480,0.5221786
1489,0.5224494
1498,0.5231842
1507,0.5215699
1516,0.521438
1525,0.5208032
1534,0.5193419
1543,0.518379
1552,0.5175588
1561,0.5162377
1570,0.5163896
1579,0.517142
1588,0.5165466
1597,0.516297
1606,0.5151051
1615,0.5130105
1624,0.5118618
1633,0.5112575
1642,0.5096589
1651,0.5073472
1660,0.5046111
1669,0.5030962
1678,0.5006066
1687,0.498694
1696,0.4965023
1705,0.4953802
1714,0.4960797
1723,0.4963626
1732,0.4960317
1741,0.4962658
1750,0.4977086
1759,0.498583
1768,0.4987105
1777,0.497981
1786,0.4987681
1795,0.4978631
1804,0.4982096
1813,0.4978121
1822,0.4960836
1831,0.4946044
1840,0.4932741
1849,0.4915091
1858,0.4891522
1867,0.4880151
1876,0.4876214
