time,r2,r4,a2
0.122,0.08999686,0.01353217,0.002453006
0.123,0.09132787,0.01393611,0.002503961
0.124,0.09266524,0.01434799,0.00255582
0.125,0.09400884,0.01476786,0.002608386
0.126,0.09535866,0.01519582,0.002663332
0.127,0.09671454,0.01563189,0.002718919
0.128,0.09807641,0.01607614,0.002775966
0.129,0.09944419,0.01652864,0.002834981
0.13,0.1008178,0.01698941,0.002894144
0.131,0.1021971,0.01745855,0.002956209
0.132,0.1035822,0.0179361,0.00301913
0.133,0.1049728,0.01842211,0.003083626
0.134,0.1063689,0.01891663,0.003149996
0.135,0.1077703,0.01941969,0.003217416
0.136,0.1091771,0.01993135,0.003286072
0.137,0.1105892,0.02045169,0.003356729
0.138,0.1120064,0.02098075,0.003429377
0.139,0.1134286,0.02151852,0.003502973
0.14,0.1148558,0.02206509,0.003578476
0.141,0.1162879,0.0226205,0.003655091
0.142,0.1177247,0.02318476,0.003733906
0.143,0.1191663,0.02375796,0.003814138
0.144,0.1206125,0.02434007,0.003895202
0.145,0.1220632,0.02493116,0.003977964
0.146,0.1235183,0.02553126,0.004062555
0.147,0.1249778,0.02614039,0.004148148
0.148,0.1264414,0.02675858,0.004235548
0.149,0.1279092,0.02738584,0.004324185
0.15,0.129381,0.0280222,0.004413931
0.151,0.1308567,0.02866773,0.004505742
0.152,0.1323363,0.02932237,0.00459864
0.153,0.1338196,0.0299862,0.004692861
0.154,0.1353067,0.03065927,0.004788249
0.155,0.1367973,0.03134152,0.00488501
0.156,0.1382914,0.03203303,0.004983398
0.157,0.1397889,0.0327338,0.005083578
0.158,0.1412898,0.03344389,0.005185191
0.159,0.142794,0.03416324,0.005287867
0.16,0.1443013,0.0348919,0.005392309
0.161,0.1458117,0.03562992,0.005498828
0.162,0.147325,0.03637726,0.005606583
0.163,0.1488413,0.03713396,0.005716357
0.164,0.1503604,0.03789999,0.00582749
0.165,0.1518821,0.03867538,0.00594073
0.166,0.1534066,0.03946016,0.006056
0.167,0.1549335,0.04025431,0.006173013
0.168,0.1564629,0.04105783,0.006292511
0.169,0.1579947,0.04187069,0.006413521
0.17,0.1595286,0.04269291,0.006536816
0.171,0.1610648,0.04352451,0.006662722
0.172,0.162603,0.04436542,0.006790145
0.173,0.1641431,0.04521568,0.006920098
0.174,0.1656852,0.04607533,0.00705253
0.175,0.1672291,0.04694428,0.007187231
0.176,0.1687747,0.04782255,0.007324472
0.177,0.1703219,0.0487101,0.007463679
0.178,0.1718706,0.04960693,0.007605463
0.179,0.1734207,0.05051302,0.007749323
0.18,0.1749722,0.05142836,0.007895824
0.181,0.1765249,0.05235287,0.008044521
0.182,0.1780788,0.05328657,0.008195402
0.183,0.1796336,0.05422939,0.008348851
0.184,0.1811894,0.05518134,0.008504236
0.185,0.1827461,0.05614232,0.008661923
0.186,0.1843035,0.05711237,0.008821804
0.187,0.1858615,0.05809139,0.008983647
0.188,0.1874201,0.05907934,0.009147702
0.189,0.1889791,0.06007622,0.009313806
0.19,0.1905386,0.06108201,0.00948236
0.191,0.1920983,0.06209665,0.009653099
0.192,0.1936584,0.06312008,0.009825481
0.193,0.1952185,0.06415227,0.009999863
0.194,0.1967787,0.06519322,0.01017676
0.195,0.198339,0.0662429,0.01035584
0.196,0.1998992,0.06730121,0.01053692
0.197,0.2014592,0.0683682,0.01072037
0.198,0.2030191,0.06944372,0.0109057
0.199,0.2045786,0.07052786,0.01109383
0.2,0.2061378,0.07162046,0.01128422
0.201,0.2076965,0.07272153,0.01147675
0.202,0.2092547,0.07383102,0.01167154
