time,r2,r4,a2
8.925,0.6464876,2.980301,3.278494
9.1,0.6497522,3.028447,3.304034
9.275,0.6525322,3.092958,3.358342
9.475,0.6558747,3.135403,3.373234
9.65,0.6596139,3.172819,3.375393
9.85,0.6640771,3.211547,3.369468
10.05,0.6680202,3.270423,3.397197
10.225,0.6712704,3.335887,3.441887
10.45,0.675275,3.406975,3.482897
10.65,0.6782187,3.435188,3.480869
10.85,0.6821415,3.482546,3.490546
11.075,0.686663,3.568985,3.541599
11.275,0.6907589,3.628866,3.563198
11.5,0.6954428,3.688891,3.576403
11.725,0.6996541,3.731552,3.573766
11.975,0.7051052,3.811433,3.599724
12.2,0.7078796,3.869388,3.633134
12.45,0.7110969,3.924344,3.656512
12.675,0.7156319,4.00559,3.692868
12.925,0.7202302,4.071854,3.709781
13.175,0.7235323,4.138291,3.743036
13.45,0.7287388,4.208152,3.754434
13.7,0.7337216,4.26937,3.758306
13.975,0.7375832,4.335727,3.781798
14.25,0.7410885,4.404908,3.812247
14.525,0.7451359,4.460051,3.819702
14.825,0.751064,4.54725,3.836668
15.125,0.7569482,4.648185,3.867459
15.4,0.7601429,4.691885,3.872009
15.725,0.7630993,4.777184,3.922221
16.025,0.766903,4.837338,3.934883
16.35,0.7719784,4.905891,3.939226
16.65,0.7774881,5.014054,3.976829
16.975,0.7828929,5.111058,4.003308
17.325,0.7902898,5.225035,4.019584
17.65,0.7931153,5.253661,4.011188
18,0.7976832,5.369148,4.062857
18.375,0.8032626,5.475389,4.091563
18.725,0.8092292,5.597681,4.128806
19.1,0.8159408,5.742144,4.174973
19.475,0.8191726,5.834896,4.217152
19.85,0.8230751,5.919852,4.243039
20.25,0.8300109,6.048239,4.267597
20.65,0.8374278,6.133965,4.248048
21.05,0.8431684,6.262076,4.284951
21.45,0.8478508,6.331476,4.284663
21.875,0.857193,6.512853,4.318208
22.325,0.8642738,6.6199,4.317408
22.75,0.8678266,6.714574,4.349385
23.2,0.8737616,6.859597,4.390933
23.65,0.8785151,6.97935,4.42585
24.125,0.8850661,7.099274,4.437681
24.6,0.893636,7.251272,4.448088
25.075,0.9007567,7.370448,4.450423
25.575,0.9081185,7.57164,4.508789
26.075,0.9119525,7.633278,4.507036
26.6,0.9181657,7.721628,4.495636
27.125,0.9263553,7.907328,4.528736
27.65,0.9320678,8.036738,4.550551
28.2,0.9374761,8.14527,4.560788
28.75,0.9433068,8.315257,4.606876
29.3,0.953083,8.568516,4.659727
29.875,0.9588319,8.654909,4.648444
30.475,0.9681571,8.953375,4.73121
31.075,0.9755467,9.10818,4.742312
31.675,0.9834497,9.265325,4.747878
32.3,0.9918158,9.429962,4.751739
32.95,1.000815,9.61012,4.756681
33.6,1.005576,9.775922,4.800683
34.25,1.015214,10.06705,4.860551
34.925,1.023104,10.22977,4.863781
35.625,1.031951,10.42088,4.871341
36.325,1.040588,10.67225,4.913567
37.025,1.051806,10.93175,4.928836
