phase,metal,config,stoich,exclude,z,T1,spec,sigt,sigt_1sm,sigt_1sp,sigt_10,sigt_20,sigt_80,sigt_90
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 100, 9800, 200)",9.529956,0.9818551,15.76931,-1.099941,1.935106,13.32223,28.89119
bdp,Na,unsym_0,unsym,0,z_all,353,"(0, 100, 9800, 200)",43.92858,1.701543,85.74307,-1.825234,4.787166,73.28356,102.1168
bdp,Na,unsym_0,unsym,0,z_all,423,"(0, 100, 9800, 200)",178.8531,12.69557,361.2699,3.172958,21.44495,333.8137,472.2806
bdp,Na,unsym_0,unsym,0,z_all,500,"(0, 100, 9800, 200)",396.6615,70.24144,721.0396,41.3764,96.00779,626.9524,932.1126
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 100, 9800, 200)",576.5384,66.87643,1063.586,34.53567,98.30591,930.5515,1233.417
bdp,Na,symm_1,symm,1,z_all,250,"(0, 100, 9900, 100)",45.56571,1.362825,78.47648,-3.276407,4.938504,67.12942,116.8881
bdp,Na,symm_1,symm,1,z_all,300,"(0, 100, 9900, 100)",115.6767,7.313635,214.069,1.263103,11.90786,199.1862,275.3428
bdp,Na,symm_1,symm,1,z_all,353,"(0, 100, 9900, 100)",254.9328,28.64215,431.6781,11.60051,44.52765,376.6708,575.8506
bdp,Na,symm_1,symm,1,z_all,423,"(0, 100, 9900, 100)",367.6806,-0.2628257,840.7739,-40.08125,25.51373,760.5929,1102.008
bdp,Na,symm_1,symm,1,z_all,500,"(0, 100, 9900, 100)",510.6119,43.58191,964.7216,18.84209,72.30776,837.9417,1339.2
bdp,Na,symm_1,symm,1,z_all,600,"(0, 100, 9900, 100)",777.8966,121.7867,1287.08,61.72536,175.6087,1170.354,1811.512
bdp,Na,unsym_0,unsym,0,z_all,250,"(0, 100, 9900, 100)",6.483263,-0.3010908,12.88149,-1.164416,-0.0314649,9.635287,16.99365
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 100, 9900, 100)",10.4659,-0.3670854,17.07733,-1.092413,0.2797768,16.3,23.64947
bdp,Na,unsym_0,unsym,0,z_all,353,"(0, 100, 9900, 100)",43.76158,3.196341,83.03609,-1.568568,5.455548,74.12278,93.17132
bdp,Na,unsym_0,unsym,0,z_all,423,"(0, 100, 9900, 100)",181.8626,15.0545,362.0264,3.774423,17.93308,315.4843,407.7126
bdp,Na,unsym_0,unsym,0,z_all,500,"(0, 100, 9900, 100)",371.3847,61.15375,765.8278,43.34846,69.40544,642.0035,849.0202
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 100, 9900, 100)",530.5939,104.4861,915.0484,26.02494,119.8001,822.0364,1058.284
beta,Na,120_1,120,1,z_all,600,"(0, 100, 8000, 2000)",40.9112,10.77984,66.27618,4.845086,19.85991,60.88432,77.84963
beta,Ag,120_4,120,4,z_all,300,"(0, 100, 8000, 2000)",2.123054,0.3570277,4.183377,0.1282322,0.4470321,3.489428,5.635982
beta,Ag,120_4,120,4,z_all,600,"(0, 100, 8000, 2000)",43.46541,6.273567,93.24316,2.401533,9.151586,80.49067,101.6775
beta,K,120_4,120,4,z_all,300,"(0, 100, 8000, 2000)",0.02043955,-0.002075091,0.04051574,-0.005823585,-0.0006748497,0.03651474,0.0589173
beta,K,120_4,120,4,z_all,600,"(0, 100, 8000, 2000)",1.569325,-0.01565829,3.191084,-0.08063406,0.05176999,2.611732,4.760711
beta,Ag,120_4,120,4,z_all,300,"(0, 1000, 80000, 20000)",1.447733,0.3713156,2.465641,0.2498497,0.5309907,2.346131,2.706038
beta,Ag,120_4,120,4,z_all,600,"(0, 1000, 80000, 20000)",36.27872,4.032943,65.81764,2.236847,6.009245,56.22074,87.82191
beta,K,120_4,120,4,z_all,600,"(0, 1000, 80000, 20000)",0.8921269,0.2031687,1.55828,0.006880901,0.2605859,1.330907,2.020967
bdp,K,unsym_0,unsym,0,z_all,300,"(0, 100, 8000, 2000)",56.21816,6.346805,107.5851,0.8752219,7.826524,101.5349,124.7705
bdp,K,unsym_0,unsym,0,z_all,600,"(0, 100, 8000, 2000)",317.8146,106.9738,585.8846,81.37096,118.7669,571.1649,692.149
beta,K,120_4,120,4,z_all,373,"(0, 100, 8000, 2000)",0.04990763,0.001587197,0.1053172,-0.006656003,0.00431716,0.08390815,0.1331962
beta,K,120_4,120,4,z_all,473,"(0, 100, 8000, 2000)",0.5104873,0.01140665,1.190359,-0.005892062,0.02947435,0.6756865,1.461517
beta,K,120_4,120,4,z_all,750,"(0, 100, 8000, 2000)",3.869815,0.5568068,6.243883,0.2090565,0.7873093,5.112431,8.288264
beta,K,120_4,120,4,z_all,1000,"(0, 100, 8000, 2000)",19.46859,3.440916,35.74383,2.182334,5.837979,34.7491,37.31196
beta,K,120_4,120,4,z_all,1200,"(0, 100, 8000, 2000)",37.7762,11.08415,66.73299,2.529042,11.64257,60.25203,75.19374
beta,K,120_4,120,4,z_all,300,"(0, 1000, 80000, 20000)",0.007909344,0.001112121,0.01717821,0.0004656038,0.00154958,0.01439208,0.01982516
bdp,K,unsym_0,unsym,0,z_all,230,"(0, 100, 8000, 2000)",12.75263,3.605829,21.13113,1.967326,5.511126,20.7374,25.0533
bdp,K,unsym_0,unsym,0,z_all,473,"(0, 100, 8000, 2000)",381.6702,16.53401,810.5203,-6.022509,27.83473,766.9831,855.0937
bdp,Na,unsym_0,unsym,0,z_all,230,"(0, 1000, 80000, 20000)",0.8666017,0.08014898,1.296342,0.02983973,0.0899765,1.09121,2.939965
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 1000, 80000, 20000)",12.96778,3.478592,22.3025,1.864765,4.886565,21.14525,24.73112
bdp,Na,symm_1,symm,1,z_all,230,"(0, 1000, 80000, 20000)",20.385,1.403197,43.21158,-3.008622,2.415222,42.08672,45.99442
bdp,Na,symm_1,symm,1,z_all,300,"(0, 1000, 80000, 20000)",203.8117,49.41511,347.9569,25.70861,64.15309,331.7021,394.4581
