9.07101e+0, 9.29330e-3
9.37081e+0, 1.55232e-2
1.03649e+1, 3.23060e-2
1.03964e+1, 4.02508e-2
1.09250e+1, 1.02473e-1
1.14694e+1, 2.96585e-1
1.14931e+1, 3.25040e-1
1.15325e+1, 3.90402e-1
1.15799e+1, 4.86410e-1
1.16193e+1, 5.95026e-1
1.16667e+1, 7.69027e-1
1.17219e+1, 9.93911e-1
1.17613e+1, 1.21585e+0
1.18008e+1, 1.46035e+0
1.18323e+1, 1.72216e+0
1.18718e+1, 2.03092e+0
1.19034e+1, 2.18536e+0
1.19270e+1, 2.18536e+0
1.19665e+1, 2.03092e+0
1.20217e+1, 1.78644e+0
1.20848e+1, 1.57140e+0
1.21479e+1, 1.35714e+0
1.21953e+1, 1.19378e+0
1.22347e+1, 1.15082e+0
1.23057e+1, 1.17210e+0
1.23688e+1, 1.28456e+0
1.24241e+1, 1.46035e+0
1.24714e+1, 1.66020e+0
1.25187e+1, 1.88739e+0
