time,r2,r4,a2
8.925,0.5744158,2.784058,4.062636
9.1,0.5772165,2.819847,4.078077
9.275,0.5823176,2.874744,4.086636
9.475,0.5879476,2.947054,4.115194
9.65,0.5943382,3.001823,4.098813
9.85,0.5994597,3.094614,4.166991
10.05,0.6036167,3.129851,4.154095
10.225,0.6082767,3.199481,4.18834
10.45,0.612949,3.245263,4.182658
10.65,0.6156178,3.267028,4.172278
10.85,0.6203029,3.333885,4.198693
11.075,0.6265616,3.416622,4.221806
11.275,0.6310401,3.457769,4.209947
11.5,0.6350496,3.504331,4.21364
11.725,0.6412329,3.599616,4.252617
11.975,0.6475947,3.663958,4.241977
12.2,0.6527036,3.725685,4.247172
12.45,0.6576228,3.781364,4.246213
12.675,0.6630942,3.849423,4.252866
12.925,0.6666203,3.905231,4.272796
13.175,0.6756399,4.024797,4.290111
13.45,0.6822063,4.111796,4.300921
13.7,0.685421,4.150858,4.301202
13.975,0.6923554,4.249277,4.318732
14.25,0.7001445,4.383229,4.365004
14.525,0.7074299,4.4751,4.365215
14.825,0.7158847,4.600347,4.385867
15.125,0.7223975,4.696515,4.39976
15.4,0.7261074,4.74915,4.404623
15.725,0.7327839,4.857169,4.427285
16.025,0.7427768,4.952787,4.386221
16.35,0.748625,5.061827,4.419134
16.65,0.7570428,5.170522,4.413084
16.975,0.7628955,5.252553,4.414915
17.325,0.7689318,5.384404,4.464033
17.65,0.7743277,5.429853,4.433626
18,0.7791271,5.522243,4.458209
18.375,0.7889044,5.670473,4.466656
18.725,0.7986742,5.815059,4.469733
19.1,0.8070188,5.996116,4.524004
19.475,0.815814,6.074904,4.476566
19.85,0.824413,6.245139,4.5132
20.25,0.8332412,6.403963,4.534247
20.65,0.8408118,6.475082,4.495395
21.05,0.8480457,6.602781,4.50858
21.45,0.8537725,6.6966,4.512153
21.875,0.8663391,6.908524,4.522817
22.325,0.8751435,7.08442,4.550052
22.75,0.8807524,7.190482,4.561624
23.2,0.8968478,7.38072,4.505699
23.65,0.9022954,7.514167,4.537766
24.125,0.9104413,7.626694,4.520567
24.6,0.9170806,7.783626,4.552879
25.075,0.9286769,7.942513,4.525606
25.575,0.9357604,8.059045,4.522116
26.075,0.9505294,8.307915,4.517117
26.6,0.9630152,8.529175,4.518131
27.125,0.9723002,8.736804,4.545019
27.65,0.9773407,8.83861,4.55192
28.2,0.990288,9.064975,4.54619
28.75,0.99983,9.236821,4.543977
29.3,1.012146,9.500161,4.564112
29.875,1.019957,9.615728,4.545875
30.475,1.028972,9.825006,4.567713
31.075,1.042288,10.11611,4.587131
31.675,1.050352,10.23335,4.565438
32.3,1.068624,10.53906,4.537365
32.95,1.08111,10.80298,4.545683
33.6,1.091314,11.01865,4.551119
34.25,1.104151,11.30618,4.564295
34.925,1.122693,11.60212,4.522896
35.625,1.132607,11.74369,4.49284
36.325,1.143821,12.03545,4.519472
37.025,1.157865,12.35009,4.527203
37.75,1.173743,12.71323,4.53683
38.5,1.187109,13.02978,4.547627
39.25,1.203756,13.37607,4.538631
40.025,1.221639,13.69648,4.506484
40.825,1.237873,14.02931,4.493326
41.625,1.251668,14.30066,4.476824
42.45,1.267254,14.6361,4.468257
43.275,1.28685,15.08816,4.466779
44.125,1.300041,15.40632,4.469358
45,1.318495,15.76665,4.441685
45.875,1.336569,16.21121,4.444829
46.775,1.348765,16.46757,4.43135
47.7,1.371103,16.87971,4.387365
48.65,1.390634,17.2771,4.360393
49.6,1.406634,17.7086,4.36999
50.575,1.425761,18.09155,4.339908
51.575,1.444419,18.49423,4.318644
52.575,1.466565,18.97645,4.293757
