time,r2,r4,a2
0,0,0,0
0.002,8.715961e-05,1.519215e-08,0.1998858
0.004,0.0003483407,2.426594e-07,0.1998858
0.006,0.0007826831,1.225086e-06,0.1999025
0.008,0.001388785,3.85718e-06,0.1999171
0.01,0.002164755,9.371843e-06,0.1999378
0.012,0.003108266,1.932196e-05,0.199958
0.014,0.004216624,3.555927e-05,0.1999808
0.016,0.005486828,6.021061e-05,0.2000008
0.018,0.00691563,9.565339e-05,0.2000191
0.02,0.008499584,0.0001444903,0.200037
0.022,0.01023508,0.0002095233,0.2000562
0.024,0.01211832,0.0002937264,0.2000783
0.026,0.01414538,0.0004002185,0.2001054
0.028,0.01631213,0.0005322342,0.2001421
0.03,0.01861429,0.0006930929,0.2001886
0.032,0.02104735,0.0008861643,0.2002472
0.034,0.0236066,0.001114841,0.2003215
0.036,0.02628713,0.001382501,0.200412
0.038,0.02908386,0.001692477,0.2005213
0.04,0.0319915,0.002048019,0.2006491
0.042,0.0350046,0.002452273,0.2007976
0.044,0.03811761,0.002908248,0.2009676
0.046,0.04132486,0.003418791,0.2011604
0.048,0.04462064,0.003986574,0.2013775
0.05,0.04799918,0.00461406,0.2016193
0.052,0.05145472,0.005303509,0.2018882
0.054,0.05498151,0.006056943,0.2021853
0.056,0.05857376,0.006876151,0.2025147
0.058,0.06222565,0.007762631,0.2028772
0.06,0.06593133,0.008717608,0.2032752
0.062,0.06968487,0.009741999,0.2037115
0.064,0.07348039,0.01083643,0.2041891
0.066,0.07731196,0.01200119,0.2047093
0.068,0.08117371,0.01323628,0.2052755
0.07,0.08505984,0.01454137,0.2058894
0.072,0.08896459,0.01591585,0.2065536
0.074,0.09288232,0.0173588,0.2072711
0.076,0.09680755,0.01886905,0.2080443
0.078,0.1007349,0.02044517,0.2088779
0.08,0.104659,0.02208548,0.2097751
0.082,0.1085749,0.02378804,0.2107397
0.084,0.1124776,0.02555076,0.2117776
0.086,0.1163623,0.02737132,0.2128927
0.088,0.1202243,0.0292472,0.2140904
0.09,0.1240592,0.03117576,0.2153753
0.092,0.1278626,0.03315414,0.2167524
0.094,0.1316303,0.0351794,0.2182266
0.096,0.1353583,0.03724845,0.2198023
0.098,0.139043,0.03935815,0.2214831
0.1,0.1426808,0.04150526,0.2232733
0.102,0.1462683,0.04368655,0.2251765
0.104,0.1498025,0.04589874,0.2271961
0.106,0.1532805,0.04813863,0.2293369
0.108,0.1566998,0.05040292,0.2316018
0.11,0.1600576,0.0526884,0.233995
0.112,0.1633518,0.05499181,0.2365208
0.114,0.1665801,0.05731002,0.2391836
0.116,0.1697404,0.05963984,0.2419871
0.118,0.172831,0.06197824,0.244936
0.12,0.1758503,0.06432225,0.248034
0.122,0.1787967,0.06666897,0.2512847
0.124,0.181669,0.06901567,0.2546919
0.126,0.1844665,0.07135976,0.2582582
0.128,0.1871882,0.07369885,0.2619874
0.13,0.1898338,0.07603067,0.2658814
0.132,0.192403,0.07835315,0.2699426
0.134,0.1948958,0.08066449,0.2741744
0.136,0.1973123,0.08296299,0.2785785
0.138,0.1996529,0.08524715,0.2831578
0.14,0.201918,0.08751568,0.2879142
0.142,0.2041083,0.08976729,0.2928501
0.144,0.2062243,0.09200099,0.297968
0.146,0.2082669,0.09421578,0.3032697
0.148,0.210237,0.09641081,0.3087562
0.15,0.2121355,0.09858541,0.3144289
0.152,0.2139636,0.100739,0.3202885
0.154,0.2157226,0.1028711,0.3263349
0.156,0.2174139,0.1049815,0.3325686
0.158,0.219039,0.1070701,0.3389885
0.16,0.2205995,0.109137,0.3455939
0.162,0.2220972,0.1111821,0.3523837
0.164,0.2235338,0.1132057,0.3593566
0.166,0.2249111,0.1152083,0.366511
0.168,0.2262311,0.1171902,0.3738448
0.17,0.2274957,0.1191519,0.3813565
0.172,0.2287068,0.121094,0.3890434
0.174,0.2298664,0.1230172,0.3969024
0.176,0.2309765,0.1249221,0.4049304
0.178,0.2320392,0.1268094,0.4131232
0.18,0.2330566,0.1286801,0.421476
0.182,0.2340309,0.1305347,0.4299838
0.184,0.234964,0.1323744,0.4386412
0.186,0.2358583,0.1342,0.4474426
0.188,0.2367158,0.1360125,0.4563822
0.19,0.2375386,0.1378128,0.4654539
0.192,0.2383288,0.1396019,0.4746522
0.194,0.2390881,0.1413808,0.4839722
0.196,0.2398186,0.1431506,0.4934078
0.198,0.2405221,0.144912,0.5029536
0.2,0.2412002,0.146666,0.512604
0.202,0.2418548,0.1484135,0.5223531
0.204,0.2424875,0.1501556,0.5321946
0.206,0.2431001,0.151893,0.5421221
0.208,0.2436943,0.1536268,0.5521281
0.21,0.2442717,0.1553578,0.5622052
0.212,0.2448339,0.1570868,0.5723459
0.214,0.2453825,0.1588149,0.5825425
0.216,0.2459189,0.1605427,0.5927872
0.218,0.2464446,0.1622709,0.6030726
0.22,0.2469608,0.1640004,0.6133924
0.222,0.2474687,0.1657318,0.6237398
0.224,0.2479693,0.1674656,0.6341084
0.226,0.2484637,0.1692024,0.6444921
0.228,0.2489526,0.1709424,0.6548843
0.23,0.2494371,0.1726863,0.6652786
0.232,0.2499178,0.1744341,0.6756683
0.234,0.2503956,0.1761861,0.6860464
0.236,0.2508711,0.1779426,0.6964062
0.238,0.2513451,0.1797038,0.7067412
0.24,0.2518181,0.1814697,0.7170445
0.242,0.2522907,0.1832406,0.7273105
0.244,0.2527634,0.1850165,0.7375349
0.246,0.2532364,0.1867973,0.7477112
0.248,0.2537101,0.1885831,0.7578365
0.25,0.2541847,0.1903737,0.7679064
0.252,0.2546603,0.1921688,0.7779179
0.254,0.255137,0.1939685,0.787868
0.256,0.2556149,0.1957723,0.7977534
0.258,0.256094,0.19758,0.8075712
0.26,0.2565743,0.1993913,0.8173181
0.262,0.2570559,0.2012057,0.8269918
0.264,0.2575386,0.2030231,0.8365894
0.266,0.2580225,0.2048429,0.8461081
0.268,0.2585073,0.2066645,0.855546
0.27,0.258993,0.2084879,0.8649022
0.272,0.2594793,0.2103121,0.8741749
0.274,0.259966,0.2121368,0.8833633
0.276,0.2604529,0.2139614,0.8924669
0.278,0.2609395,0.215785,0.9014844
0.28,0.2614257,0.2176072,0.9104154
0.282,0.2619111,0.219427,0.9192588
0.284,0.2623953,0.2212438,0.9280142
0.286,0.2628781,0.2230569,0.9366817
0.288,0.2633591,0.2248657,0.9452611
0.29,0.263838,0.2266696,0.9537533
0.292,0.2643146,0.228468,0.9621595
0.294,0.2647886,0.2302607,0.9704831
0.296,0.2652594,0.232047,0.978725
0.298,0.265727,0.2338265,0.9868895
0.3,0.2661908,0.2355989,0.9949796
0.302,0.2666505,0.2373638,1.002999
0.304,0.2671059,0.2391209,1.010953
0.306,0.2675566,0.24087,1.018843
0.308,0.2680025,0.2426108,1.026673
0.31,0.2684432,0.2443431,1.034447
0.312,0.2688787,0.2460667,1.042167
0.314,0.2693088,0.2477817,1.049837
0.316,0.2697334,0.249488,1.05746
0.318,0.2701524,0.2511854,1.065038
0.32,0.2705656,0.2528743,1.072577
0.322,0.270973,0.2545545,1.08008
0.324,0.2713744,0.256226,1.087549
0.326,0.2717697,0.257889,1.09499
0.328,0.2721589,0.2595435,1.102405
0.33,0.2725418,0.2611896,1.109798
0.332,0.2729184,0.2628272,1.11717
0.334,0.2732888,0.2644564,1.124525
0.336,0.2736529,0.2660777,1.131865
0.338,0.2740108,0.267691,1.139192
0.34,0.2743627,0.269297,1.146508
0.342,0.2747087,0.2708959,1.153817
0.344,0.2750491,0.2724886,1.161122
0.346,0.2753838,0.2740753,1.168425
0.348,0.2757132,0.2756568,1.175729
0.35,0.2760375,0.2772339,1.183039
0.352,0.2763567,0.278807,1.190358
0.354,0.2766711,0.2803771,1.197689
0.356,0.276981,0.2819448,1.205034
0.358,0.2772866,0.2835109,1.212398
0.36,0.2775882,0.285076,1.21978
0.362,0.277886,0.2866409,1.227183
