time,eb
506,1.800476
515,1.766436
524,1.738548
533,1.710174
542,1.689007
551,1.6644
560,1.644929
569,1.635724
578,1.631711
587,1.614464
596,1.601837
605,1.587179
614,1.571123
623,1.547463
632,1.527472
641,1.505047
650,1.484545
659,1.464616
668,1.446746
677,1.429651
686,1.41394
694,1.401103
703,1.379185
712,1.353877
721,1.335969
730,1.321678
739,1.30728
748,1.296972
757,1.292899
766,1.295483
775,1.299188
784,1.300801
793,1.304508
802,1.303517
811,1.305992
820,1.305047
829,1.304359
838,1.303103
847,1.300114
856,1.302031
865,1.297259
874,1.293105
883,1.290913
892,1.286783
901,1.284304
910,1.28503
919,1.282565
928,1.280305
937,1.277063
946,1.272143
955,1.267445
964,1.260359
973,1.250425
982,1.241244
991,1.230273
1000,1.219594
1009,1.209579
1018,1.203176
1027,1.197273
1036,1.191495
1045,1.183606
1054,1.176111
1063,1.169256
1072,1.161831
1081,1.155824
1090,1.149606
1099,1.14337
1108,1.135862
1117,1.130199
1126,1.126633
1135,1.123583
1144,1.122684
1153,1.122623
1162,1.121213
1171,1.123299
1180,1.1243
1189,1.122611
1198,1.116671
1207,1.112042
1216,1.107165
1225,1.101427
1234,1.093763
1243,1.088961
1252,1.084322
1261,1.079979
1270,1.077198
1279,1.072403
1288,1.064629
1297,1.058511
1306,1.052018
1315,1.047155
1324,1.041357
1333,1.033032
1342,1.025736
1351,1.016536
1360,1.006599
1369,0.9951031
1378,0.9845379
1387,0.9761012
1396,0.9694432
1405,0.9627989
1414,0.9567938
1423,0.9529422
1432,0.9501236
1441,0.9475992
1450,0.944608
1459,0.9424887
1468,0.9422329
1477,0.9456401
1486,0.9496342
1495,0.9500327
1504,0.950716
1513,0.9519439
1522,0.9514504
1531,0.9513097
1540,0.9532717
1549,0.9564509
1558,0.959469
1567,0.9615901
1576,0.9597551
1585,0.9594255
1594,0.9595753
1603,0.9577275
1612,0.957263
1621,0.9565628
1630,0.9587201
1639,0.958959
1648,0.9591241
1657,0.95993
1666,0.9603819
1675,0.9618105
1683,0.9635921
1692,0.9656703
1701,0.967288
1710,0.9664469
1719,0.9660738
1728,0.9642749
1737,0.963127
1746,0.9620257
1755,0.961761
1764,0.9612632
1773,0.9594169
1782,0.9593108
1791,0.9578515
1800,0.9566761
1809,0.9555688
1818,0.9554463
1827,0.957126
1836,0.9595591
1845,0.962393
1854,0.9648465
1863,0.9672627
1872,0.9687314
1881,0.9694555
1890,0.9695669
1899,0.9688841
1908,0.9684798
1917,0.9679557
1926,0.9668212
1935,0.9658345
1944,0.9634313
1953,0.9617968
1962,0.9597971
1971,0.9573409
1980,0.9552105
1989,0.9535039
1998,0.9523461
2007,0.9507357
2016,0.9492195
2025,0.9476225
2034,0.9468923
2043,0.9463188
2052,0.9477103
2061,0.948753
2070,0.9486736
2079,0.9486775
2088,0.9484333
2097,0.9479207
2106,0.9474948
2115,0.9478605
2124,0.9480753
2133,0.9475994
2142,0.9476436
