time,r2,r4,a2
0,0,0,0
0.002,0.0001306706,2.845727e-08,-2.510627e-05
0.004,0.0005220867,4.542776e-07,-2.911439e-05
0.006,0.001172507,2.29122e-06,-2.969066e-05
0.008,0.00207909,7.204121e-06,-3.32182e-05
0.01,0.003237978,1.747356e-05,-3.494451e-05
0.012,0.00464439,3.594929e-05,-3.626287e-05
0.014,0.006292746,6.599553e-05,-3.36948e-05
0.016,0.008176775,0.0001114297,-2.717986e-05
0.018,0.01028962,0.000176458,-1.424546e-05
0.02,0.01262394,0.0002656091,9.376886e-06
0.022,0.01517196,0.0003836651,4.585587e-05
0.024,0.01792551,0.0005355924,9.813994e-05
0.026,0.02087603,0.0007264713,0.0001699222
0.028,0.02401459,0.0009614228,0.0002654037
0.03,0.02733189,0.001245534,0.0003860235
0.032,0.03081821,0.001583783,0.0005348826
0.034,0.03446347,0.001980967,0.000715134
0.036,0.03825726,0.00244163,0.0009288774
0.038,0.04218884,0.002969997,0.001179725
0.04,0.04624719,0.003569913,0.001470455
0.042,0.05042108,0.00424479,0.001804851
0.044,0.05469913,0.004997567,0.002187484
0.046,0.05906988,0.005830673,0.002623057
0.048,0.0635219,0.006746016,0.003117119
0.05,0.06804382,0.007744958,0.003674623
0.052,0.07262441,0.008828327,0.004302177
0.054,0.07725265,0.009996409,0.005005609
0.056,0.08191766,0.01124895,0.005792446
0.058,0.08660874,0.01258516,0.006668457
0.06,0.09131541,0.01400369,0.007640481
0.062,0.09602732,0.01550269,0.008715398
0.064,0.1007345,0.01707983,0.009900554
0.066,0.105427,0.01873228,0.01120208
0.068,0.1100956,0.02045683,0.01262784
0.07,0.114731,0.02224988,0.01418484
0.072,0.1193247,0.0241075,0.01588041
0.074,0.1238684,0.0260255,0.01772251
0.076,0.1283543,0.02799948,0.01971885
0.078,0.1327751,0.03002491,0.02187876
0.08,0.1371242,0.03209712,0.02421026
0.082,0.1413951,0.03421137,0.02672189
0.084,0.1455822,0.03636298,0.0294234
0.086,0.1496802,0.03854723,0.03232295
0.088,0.1536844,0.04075948,0.03542932
0.09,0.1575905,0.04299521,0.03875036
0.092,0.1613948,0.04524995,0.04229371
0.094,0.1650942,0.04751947,0.0460664
0.096,0.1686858,0.04979963,0.05007473
0.098,0.1721676,0.05208658,0.05432384
0.1,0.175538,0.05437668,0.05881849
0.102,0.178796,0.05666661,0.06356268
0.104,0.1819409,0.0589533,0.06855907
0.106,0.184973,0.06123407,0.07381083
0.108,0.1878926,0.06350643,0.07931864
0.11,0.1907006,0.06576821,0.08508306
0.112,0.1933984,0.06801747,0.09110385
0.114,0.1959875,0.0702526,0.0973798
0.116,0.1984699,0.07247214,0.103908
0.118,0.200848,0.07467493,0.1106853
0.12,0.2031244,0.07686004,0.1177068
0.122,0.2053018,0.07902671,0.1249662
0.124,0.2073837,0.08117446,0.1324561
0.126,0.2093735,0.08330303,0.1401676
0.128,0.2112749,0.08541242,0.1480913
0.13,0.213092,0.08750279,0.1562154
0.132,0.214829,0.08957449,0.1645274
0.134,0.2164903,0.0916282,0.1730149
0.136,0.2180804,0.09366464,0.1816629
0.138,0.2196039,0.09568469,0.1904569
0.14,0.2210654,0.09768938,0.1993806
0.142,0.2224695,0.09967972,0.2084176
0.144,0.2238208,0.1016569,0.2175508
0.146,0.2251238,0.103622,0.2267623
0.148,0.2263828,0.1055761,0.2360329
0.15,0.2276022,0.1075204,0.2453439
0.152,0.2287864,0.1094562,0.2546755
0.154,0.2299395,0.1113847,0.2640079
0.156,0.2310657,0.1133073,0.2733217
0.158,0.2321689,0.1152251,0.2825966
0.16,0.2332532,0.1171395,0.2918132
0.162,0.234322,0.1190519,0.3009529
0.164,0.2353791,0.1209637,0.3099978
0.166,0.2364275,0.1228759,0.3189308
0.168,0.2374705,0.12479,0.3277363
0.17,0.2385107,0.1267071,0.3364004
0.172,0.2395507,0.1286284,0.34491
0.174,0.2405927,0.1305548,0.3532536
0.176,0.2416389,0.1324875,0.3614212
0.178,0.242691,0.1344274,0.3694045
0.18,0.2437506,0.1363753,0.377196
0.182,0.2448189,0.138332,0.3847907
0.184,0.2458971,0.1402984,0.3921849
0.186,0.2469861,0.142275,0.399377
0.188,0.2480864,0.1442625,0.4063671
0.19,0.2491984,0.1462613,0.4131571
0.192,0.250322,0.148272,0.4197511
0.194,0.2514572,0.1502948,0.4261557
0.196,0.2526034,0.1523298,0.432378
0.198,0.2537601,0.1543772,0.4384274
0.2,0.2549263,0.156437,0.4443141
0.202,0.256101,0.1585091,0.4500497
0.204,0.2572831,0.1605932,0.4556462
0.206,0.2584714,0.1626892,0.4611163
0.208,0.2596647,0.1647967,0.466473
0.21,0.2608614,0.1669154,0.4717294
0.212,0.26206,0.1690445,0.4768997
0.214,0.2632589,0.1711837,0.4819977
0.216,0.2644564,0.173332,0.4870378
0.218,0.2656505,0.1754886,0.492035
0.22,0.2668393,0.1776526,0.4970052
0.222,0.2680207,0.1798229,0.5019639
0.224,0.2691927,0.1819983,0.5069267
0.226,0.270353,0.1841777,0.5119096
0.228,0.2714995,0.1863596,0.5169276
0.23,0.2726301,0.1885427,0.5219954
0.232,0.2737426,0.1907254,0.5271271
0.234,0.2748349,0.1929064,0.5323359
0.236,0.2759053,0.1950841,0.5376346
0.238,0.2769517,0.197257,0.5430351
0.24,0.2779723,0.1994236,0.5485485
0.242,0.2789655,0.2015824,0.5541861
0.244,0.2799295,0.203732,0.5599594
0.246,0.2808627,0.2058707,0.565877
0.248,0.2817637,0.2079972,0.57195
0.25,0.2826311,0.2101101,0.5781868
0.252,0.2834635,0.2122079,0.5845964
0.254,0.2842599,0.2142896,0.5911865
0.256,0.2850195,0.2163538,0.5979631
0.258,0.2857415,0.2183996,0.604932
0.26,0.2864253,0.220426,0.612097
0.262,0.2870707,0.222432,0.6194617
0.264,0.2876775,0.2244169,0.627028
0.266,0.2882456,0.2263799,0.6347968
0.268,0.2887751,0.2283203,0.6427686
0.27,0.2892663,0.2302379,0.6509436
0.272,0.2897197,0.2321319,0.6593204
0.274,0.2901356,0.2340022,0.6678971
0.276,0.2905147,0.2358483,0.6766714
0.278,0.2908577,0.2376701,0.6856396
0.28,0.2911656,0.2394675,0.694797
0.282,0.2914393,0.2412402,0.7041379
0.284,0.2916799,0.2429883,0.7136557
0.286,0.2918888,0.2447121,0.7233432
0.288,0.2920673,0.2464117,0.7331917
0.29,0.2922171,0.2480876,0.7431921
0.292,0.2923395,0.2497403,0.7533346
0.294,0.2924365,0.2513705,0.7636095
0.296,0.2925097,0.2529788,0.7740045
0.298,0.2925611,0.2545661,0.7845088
0.3,0.2925925,0.2561333,0.7951094
0.302,0.2926059,0.2576813,0.8057933
0.304,0.2926035,0.2592115,0.8165467
0.306,0.2925872,0.2607246,0.8273534
0.308,0.2925595,0.2622222,0.8381982
0.31,0.2925225,0.2637053,0.849063
0.312,0.2924783,0.2651752,0.8599312
0.314,0.2924293,0.2666332,0.8707842
0.316,0.2923777,0.2680806,0.8816038
0.318,0.2923255,0.2695186,0.8923718
0.32,0.292275,0.2709487,0.903071
0.322,0.292228,0.272372,0.9136834
0.324,0.2921865,0.2737898,0.9241917
0.326,0.2921522,0.2752034,0.9345795
0.328,0.2921271,0.2766139,0.9448298
0.33,0.2921127,0.2780225,0.9549264
0.332,0.2921106,0.2794302,0.9648527
0.334,0.2921224,0.2808383,0.9745937
0.336,0.2921496,0.2822478,0.984135
0.338,0.2921936,0.28366,0.9934625
0.34,0.2922556,0.2850759,1.002563
0.342,0.2923368,0.2864968,1.011427
0.344,0.2924383,0.2879241,1.020044
0.346,0.292561,0.2893586,1.028405
0.348,0.2927058,0.2908017,1.036505
0.35,0.2928734,0.2922546,1.044338
0.352,0.2930642,0.2937184,1.051903
0.354,0.2932787,0.2951943,1.059198
0.356,0.2935173,0.2966834,1.066222
0.358,0.2937803,0.2981867,1.072976
0.36,0.2940677,0.2997051,1.079461
0.362,0.2943795,0.3012395,1.085682
0.364,0.2947156,0.3027907,1.091642
0.366,0.2950759,0.3043592,1.097347
0.368,0.2954598,0.3059455,1.102802
0.37,0.295867,0.3075503,1.108018
0.372,0.2962969,0.3091738,1.113002
0.374,0.2967486,0.3108161,1.117763
0.376,0.2972215,0.3124777,1.122316
0.378,0.2977145,0.3141585,1.12667
0.38,0.2982268,0.3158586,1.130838
0.382,0.2987572,0.3175776,1.134835
0.384,0.2993045,0.3193155,1.138674
0.386,0.2998676,0.3210722,1.142372
0.388,0.300445,0.3228471,1.145943
0.39,0.3010354,0.32464,1.149404
0.392,0.3016374,0.3264502,1.152772
0.394,0.3022492,0.3282775,1.156066
0.396,0.3028694,0.3301209,1.159302
0.398,0.3034962,0.3319798,1.162502
0.4,0.3041279,0.3338537,1.165682
0.402,0.3047629,0.3357416,1.168863
0.404,0.3053994,0.337643,1.172064
0.406,0.306036,0.3395571,1.1753
0.408,0.3066709,0.3414832,1.17859
0.41,0.3073027,0.3434203,1.181948
0.412,0.3079299,0.3453675,1.18539
0.414,0.3085512,0.3473239,1.188929
0.416,0.309165,0.3492881,1.192575
0.418,0.30977,0.3512588,1.19634
0.42,0.310365,0.3532347,1.200235
0.422,0.3109487,0.3552143,1.204267
0.424,0.3115197,0.3571959,1.208445
0.426,0.3120769,0.3591782,1.212778
0.428,0.3126191,0.3611595,1.217273
0.43,0.3131452,0.3631385,1.221938
0.432,0.3136541,0.3651134,1.226779
0.434,0.3141448,0.3670831,1.231803
0.436,0.3146165,0.3690465,1.237017
0.438,0.3150682,0.371002,1.242428
0.44,0.3154991,0.3729486,1.24804
0.442,0.3159087,0.3748851,1.253857
0.444,0.3162962,0.3768104,1.259884
0.446,0.3166611,0.3787231,1.266124
0.448,0.3170028,0.3806223,1.27258
0.45,0.3173213,0.3825069,1.279251
0.452,0.3176159,0.3843761,1.286141
0.454,0.3178869,0.3862294,1.29325
0.456,0.318134,0.3880659,1.300576
0.458,0.3183575,0.3898855,1.308119
0.46,0.3185575,0.3916875,1.315876
0.462,0.3187344,0.3934716,1.323844
0.464,0.3188884,0.3952378,1.332019
0.466,0.3190201,0.396985,1.340396
0.468,0.3191297,0.3987127,1.348967
0.47,0.3192177,0.4004205,1.357728
0.472,0.3192847,0.4021076,1.366668
0.474,0.3193311,0.4037729,1.37578
0.476,0.3193574,0.4054161,1.385054
0.478,0.3193643,0.4070365,1.394483
0.48,0.3193525,0.4086337,1.404057
0.482,0.3193226,0.4102072,1.413767
0.484,0.3192753,0.4117574,1.423606
0.486,0.3192116,0.4132845,1.433566
0.488,0.3191321,0.4147886,1.443639
0.49,0.3190379,0.4162701,1.453816
0.492,0.3189298,0.4177296,1.464089
0.494,0.3188087,0.4191673,1.474449
0.496,0.3186755,0.4205837,1.484886
0.498,0.318531,0.421979,1.495391
0.5,0.3183765,0.4233535,1.50595
0.502,0.3182126,0.4247078,1.516557
0.504,0.3180404,0.4260427,1.527201
0.506,0.3178609,0.4273587,1.53787
0.508,0.3176752,0.4286568,1.548557
0.51,0.3174842,0.4299381,1.559252
0.512,0.3172887,0.4312035,1.569947
0.514,0.3170899,0.4324542,1.580635
0.516,0.3168884,0.4336906,1.591305
0.518,0.316685,0.4349134,1.60195
0.52,0.3164805,0.4361234,1.612562
0.522,0.3162755,0.4373205,1.623131
0.524,0.3160706,0.4385049,1.633647
0.526,0.3158664,0.4396767,1.644099
0.528,0.3156635,0.4408361,1.654481
0.53,0.3154625,0.4419835,1.664782
0.532,0.315264,0.4431191,1.674995
0.534,0.3150684,0.4442439,1.685116
0.536,0.3148763,0.4453589,1.69514
0.538,0.3146883,0.4464651,1.705065
0.54,0.3145046,0.4475636,1.714889
0.542,0.3143255,0.4486554,1.724613
0.544,0.3141514,0.4497412,1.734235
0.546,0.3139823,0.4508219,1.743758
0.548,0.3138184,0.4518979,1.753181
0.55,0.3136596,0.4529693,1.762503
0.552,0.313506,0.4540367,1.771726
0.554,0.3133576,0.4551004,1.780852
0.556,0.3132145,0.4561606,1.789879
0.558,0.3130765,0.4572182,1.798812
0.56,0.3129439,0.4582737,1.807651
0.562,0.3128165,0.4593279,1.816403
0.564,0.3126944,0.4603819,1.825071
0.566,0.3125773,0.4614357,1.833658
0.568,0.3124652,0.46249,1.842171
0.57,0.3123578,0.463545,1.850614
0.572,0.3122548,0.4646008,1.858991
0.574,0.3121559,0.4656567,1.867305
0.576,0.3120608,0.4667125,1.875558
0.578,0.3119692,0.4677678,1.883754
0.58,0.3118807,0.4688221,1.891895
0.582,0.311795,0.4698753,1.899984
0.584,0.3117119,0.4709274,1.908027
0.586,0.3116312,0.4719789,1.91603
0.588,0.3115527,0.4730301,1.923998
0.59,0.3114761,0.4740815,1.931938
0.592,0.3114012,0.4751337,1.93986
0.594,0.3113277,0.4761869,1.947768
0.596,0.3112552,0.4772412,1.955671
0.598,0.3111834,0.4782966,1.963574
0.6,0.3111119,0.4793526,1.971481
0.602,0.3110405,0.480409,1.979398
0.604,0.3109688,0.4814655,1.987328
0.606,0.3108966,0.4825217,1.995272
0.608,0.3108237,0.4835776,2.003233
0.61,0.3107502,0.4846333,2.011215
0.612,0.3106758,0.4856891,2.019221
0.614,0.3106005,0.4867456,2.027254
0.616,0.3105244,0.4878025,2.035316
0.618,0.3104472,0.4888604,2.043411
0.62,0.310369,0.4899192,2.05154
0.622,0.3102895,0.4909786,2.059705
0.624,0.3102088,0.492038,2.067904
0.626,0.3101265,0.4930968,2.076137
0.628,0.3100427,0.4941545,2.084401
0.63,0.3099573,0.4952099,2.092692
0.632,0.3098703,0.4962628,2.101009
0.634,0.3097817,0.4973128,2.109349
0.636,0.3096916,0.4983603,2.117711
0.638,0.3096001,0.4994052,2.126095
0.64,0.3095072,0.5004476,2.1345
0.642,0.3094132,0.5014881,2.142926
0.644,0.3093181,0.5025266,2.151372
0.646,0.3092219,0.5035635,2.15984
0.648,0.3091246,0.5045982,2.168327
0.65,0.3090263,0.5056306,2.176829
0.652,0.308927,0.5066603,2.185345
0.654,0.3088269,0.5076871,2.193869
0.656,0.3087262,0.5087107,2.202396
0.658,0.3086252,0.509731,2.21092
0.66,0.3085242,0.5107485,2.219436
0.662,0.3084235,0.5117634,2.22794
0.664,0.3083237,0.5127764,2.236425
0.666,0.3082249,0.5137877,2.244887
0.668,0.3081276,0.5147979,2.253321
